dteday,season,hour,holiday,weekday,workingday,weather,temp,atemp,hum,windspeed,casual,registered
2011-01-02,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8
2011-01-02,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19
2011-01-02,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46
2011-01-02,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54
2011-01-02,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73
2011-01-02,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64
2011-01-02,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55
2011-01-02,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55
2011-01-02,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67
2011-01-02,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58
2011-01-02,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43
2011-01-02,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29
2011-01-02,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17
2011-01-02,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20
2011-01-02,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9
2011-01-02,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8
2011-01-03,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5
2011-01-03,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2
2011-01-03,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1
2011-01-03,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3
2011-01-03,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30
2011-01-03,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63
2011-01-03,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153
2011-01-03,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81
2011-01-03,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33
2011-01-03,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41
2011-01-03,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48
2011-01-03,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53
2011-01-03,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66
2011-01-03,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58
2011-01-03,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67
2011-01-03,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146
2011-01-03,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148
2011-01-03,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102
2011-01-03,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49
2011-01-03,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49
2011-01-03,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20
2011-01-03,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11
2011-01-04,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5
2011-01-04,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2
2011-01-04,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1
2011-01-04,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2
2011-01-04,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4
2011-01-04,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36
2011-01-04,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92
2011-01-04,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177
2011-01-04,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98
2011-01-04,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37
2011-01-04,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50
2011-01-04,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66
2011-01-04,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79
2011-01-04,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54
2011-01-04,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48
2011-01-04,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68
2011-01-04,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202
2011-01-04,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179
2011-01-04,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110
2011-01-04,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53
2011-01-04,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48
2011-01-04,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34
2011-01-04,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9
2011-01-05,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6
2011-01-05,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6
2011-01-05,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2
2011-01-05,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2
2011-01-05,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3
2011-01-05,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33
2011-01-05,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87
2011-01-05,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192
2011-01-05,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109
2011-01-05,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53
2011-01-05,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34
2011-01-05,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74
2011-01-05,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65
2011-01-05,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52
2011-01-05,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55
2011-01-05,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85
2011-01-05,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186
2011-01-05,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166
2011-01-05,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127
2011-01-05,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82
2011-01-05,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40
2011-01-05,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41
2011-01-05,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18
2011-01-06,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11
2011-01-06,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4
2011-01-06,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2
2011-01-06,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1
2011-01-06,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4
2011-01-06,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36
2011-01-06,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95
2011-01-06,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216
2011-01-06,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116
2011-01-06,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42
2011-01-06,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57
2011-01-06,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78
2011-01-06,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55
2011-01-06,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59
2011-01-06,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54
2011-01-06,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74
2011-01-06,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163
2011-01-06,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158
2011-01-06,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109
2011-01-06,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66
2011-01-06,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48
2011-01-06,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51
2011-01-06,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19
2011-01-07,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13
2011-01-07,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5
2011-01-07,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1
2011-01-07,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1
2011-01-07,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5
2011-01-07,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26
2011-01-07,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76
2011-01-07,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190
2011-01-07,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125
2011-01-07,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47
2011-01-07,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48
2011-01-07,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50
2011-01-07,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64
2011-01-07,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43
2011-01-07,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63
2011-01-07,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82
2011-01-07,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178
2011-01-07,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116
2011-01-07,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92
2011-01-07,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50
2011-01-07,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39
2011-01-07,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34
2011-01-07,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14
2011-01-08,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24
2011-01-08,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15
2011-01-08,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13
2011-01-08,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7
2011-01-08,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1
2011-01-08,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5
2011-01-08,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2
2011-01-08,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8
2011-01-08,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15
2011-01-08,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20
2011-01-08,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56
2011-01-08,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60
2011-01-08,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90
2011-01-08,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95
2011-01-08,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83
2011-01-08,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69
2011-01-08,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68
2011-01-08,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64
2011-01-08,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52
2011-01-08,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26
2011-01-08,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28
2011-01-08,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35
2011-01-08,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33
2011-01-08,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22
2011-01-09,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24
2011-01-09,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12
2011-01-09,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11
2011-01-09,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4
2011-01-09,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1
2011-01-09,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1
2011-01-09,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1
2011-01-09,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5
2011-01-09,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10
2011-01-09,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19
2011-01-09,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49
2011-01-09,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47
2011-01-09,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79
2011-01-09,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69
2011-01-09,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64
2011-01-09,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77
2011-01-09,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79
2011-01-09,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59
2011-01-09,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44
2011-01-09,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40
2011-01-09,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38
2011-01-09,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19
2011-01-09,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10
2011-01-09,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6
2011-01-10,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3
2011-01-10,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0
2011-01-10,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3
2011-01-10,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1
2011-01-10,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2
2011-01-10,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3
2011-01-10,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31
2011-01-10,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75
2011-01-10,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184
2011-01-10,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92
2011-01-10,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31
2011-01-10,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28
2011-01-10,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47
2011-01-10,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50
2011-01-10,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47
2011-01-10,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43
2011-01-10,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70
2011-01-10,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174
2011-01-10,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154
2011-01-10,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92
2011-01-10,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73
2011-01-10,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37
2011-01-10,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22
2011-01-10,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18
2011-01-11,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10
2011-01-11,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3
2011-01-11,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3
2011-01-11,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6
2011-01-11,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27
2011-01-11,1,7,0,2,1,2,0.16,0.2273,0.55,0,2,97
2011-01-11,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214
2011-01-11,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127
2011-01-11,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51
2011-01-11,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31
2011-01-11,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55
2011-01-11,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46
2011-01-11,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60
2011-01-11,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45
2011-01-11,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72
2011-01-11,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130
2011-01-11,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94
2011-01-11,1,19,0,2,1,3,0.16,0.2273,0.93,0,0,51
2011-01-11,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32
2011-01-11,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20
2011-01-11,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28
2011-01-11,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18
2011-01-12,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7
2011-01-12,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6
2011-01-12,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1
2011-01-12,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5
2011-01-12,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16
2011-01-12,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54
2011-01-12,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125
2011-01-12,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78
2011-01-12,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39
2011-01-12,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32
2011-01-12,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52
2011-01-12,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49
2011-01-12,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44
2011-01-12,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48
2011-01-12,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63
2011-01-12,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139
2011-01-12,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135
2011-01-12,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82
2011-01-12,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54
2011-01-12,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57
2011-01-12,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32
2011-01-12,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,19
2011-01-13,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,6
2011-01-13,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2
2011-01-13,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2
2011-01-13,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0,3
2011-01-13,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4
2011-01-13,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3
2011-01-13,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0,28
2011-01-13,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72
2011-01-13,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,5,197
2011-01-13,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137
2011-01-13,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36
2011-01-13,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,4,33
2011-01-13,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,3,49
2011-01-13,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,2,81
2011-01-13,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,3,39
2011-01-13,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,5,55
2011-01-13,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,2,76
2011-01-13,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,4,158
2011-01-13,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,3,141
2011-01-13,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,1,98
2011-01-13,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,64
2011-01-13,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,0,40
2011-01-13,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,0,30
2011-01-13,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,1,14
2011-01-14,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,0,14
2011-01-14,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,0,5
2011-01-14,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,0,1
2011-01-14,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,0,1
2011-01-14,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,0,8
2011-01-14,1,6,0,5,1,1,0.1,0.1818,0.54,0,0,17
2011-01-14,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,0,70
2011-01-14,1,8,0,5,1,1,0.12,0.1667,0.68,0,2,156
2011-01-14,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,0,117
2011-01-14,1,10,0,5,1,1,0.18,0.1818,0.55,0.194,4,40
2011-01-14,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836,6,47
2011-01-14,1,12,0,5,1,1,0.2,0.197,0.44,0.2537,2,59
2011-01-14,1,13,0,5,1,1,0.22,0.197,0.37,0.3881,4,73
2011-01-14,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836,5,59
2011-01-14,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642,9,59
2011-01-14,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045,3,87
2011-01-14,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642,4,155
2011-01-14,1,18,0,5,1,1,0.2,0.2576,0.47,0,5,134
2011-01-14,1,19,0,5,1,1,0.16,0.197,0.59,0.0896,3,89
2011-01-14,1,20,0,5,1,1,0.18,0.2424,0.59,0,0,68
2011-01-14,1,21,0,5,1,1,0.16,0.2273,0.69,0,4,48
2011-01-14,1,22,0,5,1,2,0.16,0.2273,0.69,0,2,34
2011-01-14,1,23,0,5,1,2,0.18,0.2424,0.55,0,1,26
2011-01-15,1,0,0,6,0,1,0.18,0.2424,0.55,0,3,25
2011-01-15,1,1,0,6,0,2,0.16,0.197,0.59,0.0896,2,18
2011-01-15,1,2,0,6,0,2,0.16,0.197,0.59,0.0896,0,12
2011-01-15,1,3,0,6,0,2,0.16,0.2273,0.59,0,1,7
2011-01-15,1,4,0,6,0,2,0.16,0.2273,0.59,0,0,5
2011-01-15,1,5,0,6,0,1,0.16,0.2273,0.59,0,0,1
2011-01-15,1,6,0,6,0,1,0.14,0.1667,0.63,0.1045,1,2
2011-01-15,1,7,0,6,0,1,0.14,0.2121,0.63,0,1,9
2011-01-15,1,8,0,6,0,1,0.14,0.1515,0.63,0.1343,1,22
2011-01-15,1,9,0,6,0,1,0.16,0.1818,0.64,0.1343,2,31
2011-01-15,1,10,0,6,0,1,0.18,0.197,0.59,0.1642,2,57
2011-01-15,1,11,0,6,0,1,0.2,0.197,0.55,0.2239,18,54
2011-01-15,1,12,0,6,0,1,0.24,0.2273,0.48,0.2239,15,74
2011-01-15,1,13,0,6,0,1,0.28,0.2576,0.38,0.2985,21,80
2011-01-15,1,14,0,6,0,1,0.3,0.2879,0.39,0.2836,26,92
2011-01-15,1,15,0,6,0,2,0.32,0.3182,0.36,0.194,21,108
2011-01-15,1,16,0,6,0,2,0.34,0.3333,0.34,0.194,33,95
2011-01-15,1,17,0,6,0,2,0.32,0.303,0.36,0.2836,29,54
2011-01-15,1,18,0,6,0,2,0.3,0.2879,0.45,0.2537,15,69
2011-01-15,1,19,0,6,0,2,0.32,0.303,0.39,0.2537,14,60
