,AWND,Base,Day,Dropoff_latitude,Dropoff_longitude,Ehail_fee,Extra,Fare_amount,Lpep_dropoff_datetime,MTA_tax,PRCP,Passenger_count,Payment_type,Pickup_latitude,Pickup_longitude,RateCodeID,SNOW,SNWD,Store_and_fwd_flag,TMAX,TMIN,Tip_amount,Tolls_amount,Total_amount,Trip_distance,Trip_type,Type,VendorID,lpep_pickup_datetime,Trip Length (min)
918641,6.9,,9,40.7312850952,-73.8643035889,,0.0,5.0,2014-04-09 09:04:53,0.5,0.0,1.0,2.0,40.7262611389,-73.853012085,1.0,0.0,0.0,N,61,45,0.0,0.0,5.5,0.8,1.0,0,2.0,2014-04-09 08:59:37,5.0
1232716,7.6,,16,40.8055267334,-73.96212768550001,,0.0,6.0,2014-04-16 13:58:31,0.5,0.05,2.0,1.0,40.8172454834,-73.9572982788,1.0,0.0,0.0,N,49,31,1.0,0.0,7.5,1.0,1.0,0,1.0,2014-04-16 13:53:30,5.0
1094668,4.3,,12,40.6744003296,-73.950050354,,0.5,44.5,2014-04-12 23:41:38,0.5,0.0,1.0,2.0,40.8369483948,-73.9428863525,1.0,0.0,0.0,N,73,50,0.0,0.0,45.5,15.53,1.0,0,2.0,2014-04-12 23:06:10,35.0
1297028,7.8,,17,40.8758468628,-73.91353607180001,,0.5,14.5,2014-04-17 23:35:11,0.5,0.0,1.0,2.0,40.8394165039,-73.9410476685,1.0,0.0,0.0,N,48,36,0.0,0.0,15.5,4.1,1.0,0,1.0,2014-04-17 23:21:58,13.0
661786,3.8,,3,40.807250976599995,-73.9495391846,,1.0,6.5,2014-04-03 17:12:21,0.5,0.07,1.0,2.0,40.8154144287,-73.9398956299,1.0,0.0,0.0,N,67,46,0.0,0.0,8.0,1.0,1.0,0,2.0,2014-04-03 17:06:01,6.0
410034,5.8,B02682,11,,,,,27.490245304200002,2014-04-11 14:36:00,,0.0,,,40.7348,-73.9798,,0.0,0.0,,75,56,,,,3.07981058376,,1,,2014-04-11 14:26:00,10.0
260367,5.8,B02617,11,,,,,26.0535410424,2014-04-11 22:38:00,,0.0,,,40.7272,-73.9997,,0.0,0.0,,75,56,,,,3.29790609303,,1,,2014-04-11 22:26:00,12.0
1181849,8.7,,15,40.756450653099996,-73.8874435425,,0.5,6.0,2014-04-15 05:22:34,0.5,0.71,1.0,2.0,40.7475013733,-73.8857040405,1.0,0.0,0.0,N,63,33,0.0,0.0,7.0,0.8,1.0,0,1.0,2014-04-15 05:17:09,5.0
860235,6.0,,7,40.832557678200004,-73.9095535278,,1.0,5.5,2014-04-07 17:42:39,0.5,0.52,1.0,2.0,40.8432807922,-73.903465271,1.0,0.0,0.0,N,53,43,0.0,0.0,7.0,0.79,1.0,0,2.0,2014-04-07 17:38:21,4.0
796700,4.3,,6,40.726318359400004,-73.9918899536,,0.5,12.5,2014-04-06 02:10:08,0.5,0.0,1.0,1.0,40.7102737427,-73.9633636475,1.0,0.0,0.0,N,61,36,2.6,0.0,16.1,2.83,1.0,0,2.0,2014-04-06 01:55:40,14.0
419054,4.3,B02682,12,,,,,17.3754562343,2014-04-12 17:54:00,,0.0,,,40.7362,-74.0032,,0.0,0.0,,73,50,,,,2.7023504280900004,,1,,2014-04-12 17:45:00,9.0
787757,8.5,,5,40.7243118286,-73.981803894,,0.5,26.5,2014-04-06 00:06:28,0.5,0.0,1.0,2.0,40.6968917847,-73.9913024902,1.0,0.0,0.0,N,54,40,0.0,0.0,27.5,6.25,1.0,0,2.0,2014-04-05 23:33:34,32.0
1419350,6.3,,20,40.6850318909,-73.9778366089,,0.0,7.5,2014-04-20 13:14:48,0.5,0.0,1.0,1.0,40.6952133179,-73.9935760498,1.0,0.0,0.0,N,60,45,1.88,0.0,9.88,1.63,1.0,0,2.0,2014-04-20 13:07:24,7.0
1510495,9.4,,23,40.703910827600005,-73.963142395,,0.5,6.0,2014-04-23 00:14:18,0.5,0.0,1.0,1.0,40.721698761,-73.95808410640001,1.0,0.0,0.0,N,61,44,1.3,0.0,8.3,0.96,1.0,0,2.0,2014-04-23 00:08:40,5.0
278700,7.8,B02617,17,,,,,15.2700184281,2014-04-17 17:31:00,,0.0,,,40.7645,-73.9715,,0.0,0.0,,48,36,,,,2.01338237254,,1,,2014-04-17 17:24:00,7.0
387391,6.9,B02682,8,,,,,20.5993637053,2014-04-08 13:42:00,,0.34,,,40.7236,-73.9581,,0.0,0.0,,64,46,,,,2.0686322539099997,,1,,2014-04-08 13:34:00,8.0
373280,4.3,B02682,6,,,,,23.4848496052,2014-04-06 14:11:00,,0.0,,,40.7199,-74.0003,,0.0,0.0,,61,36,,,,2.0873122586000004,,1,,2014-04-06 14:03:00,8.0
1173820,7.4,,14,40.6948814392,-73.997253418,,0.5,14.5,2014-04-14 21:08:55,0.5,0.0,1.0,1.0,40.7156677246,-73.96003723140001,1.0,0.0,0.0,N,75,59,3.0,0.0,18.5,4.11,1.0,0,2.0,2014-04-14 20:56:52,12.0
345021,3.8,B02682,3,,,,,24.0162151145,2014-04-03 16:58:00,,0.07,,,40.7261,-73.992,,0.0,0.0,,67,46,,,,3.83304300321,,1,,2014-04-03 16:48:00,10.0
1300975,5.4,,18,40.747291564899996,-73.8927154541,,0.5,6.0,2014-04-18 01:20:26,0.5,0.0,1.0,2.0,40.7469978333,-73.89087677,1.0,0.0,0.0,N,49,35,0.0,0.0,7.0,0.75,1.0,0,2.0,2014-04-18 01:13:50,6.0
890928,6.9,,8,40.813949585,-73.9481430054,,0.0,10.0,2014-04-08 14:22:38,0.5,0.34,1.0,2.0,40.7961235046,-73.9385757446,1.0,0.0,0.0,N,64,46,0.0,0.0,10.5,2.06,1.0,0,2.0,2014-04-08 14:11:51,10.0
11505,6.9,B02512,10,,,,,23.0399354067,2014-04-10 07:59:00,,0.0,,,40.688,-73.9993,,0.0,0.0,,58,42,,,,2.59562109134,,1,,2014-04-10 07:48:00,11.0
1129985,5.8,,13,40.615482330300004,-74.033531189,,0.0,18.0,2014-04-13 17:49:08,0.5,0.0,1.0,2.0,40.5786705017,-73.9677734375,1.0,0.0,0.0,N,77,54,0.0,0.0,18.5,5.56,1.0,0,2.0,2014-04-13 17:35:11,13.0
1737007,5.8,,27,40.7478637695,-73.87394714359999,,0.0,16.5,2014-04-27 18:20:13,0.5,0.0,3.0,2.0,40.7214393616,-73.8444595337,1.0,0.0,0.0,N,59,47,0.0,0.0,17.0,3.51,1.0,0,2.0,2014-04-27 17:59:55,20.0
797785,4.3,,6,40.7361755371,-74.033203125,,0.0,80.0,2014-04-06 02:14:51,0.0,0.0,1.0,1.0,40.7361755371,-74.0331802368,5.0,0.0,0.0,N,61,36,0.0,0.0,80.0,0.0,2.0,0,2.0,2014-04-06 02:14:47,0.0
1348733,5.6,,19,40.8652000427,-73.9242477417,,0.5,38.0,2014-04-19 01:51:10,0.5,0.0,1.0,2.0,40.745830535900005,-73.9021987915,1.0,0.0,0.0,N,68,41,0.0,0.0,39.0,12.27,1.0,0,2.0,2014-04-19 01:18:55,32.0
1501003,5.6,,22,40.7412567139,-73.9811935425,,1.0,16.5,2014-04-22 19:28:25,0.5,0.01,1.0,2.0,40.7431411743,-73.916519165,1.0,0.0,0.0,N,71,51,0.0,0.0,18.0,4.61,1.0,0,2.0,2014-04-22 19:11:47,16.0
1782319,4.3,,28,40.677371978800004,-73.9591522217,,0.5,8.0,2014-04-28 21:37:51,0.5,0.0,1.0,2.0,40.672046661399996,-73.9773406982,1.0,0.0,0.0,N,67,45,0.0,0.0,9.0,1.4,1.0,0,1.0,2014-04-28 21:29:08,8.0
214703,8.3,B02598,30,,,,,12.521892061600001,2014-04-30 19:00:00,,4.97,,,40.7703,-73.9849,,0.0,0.0,,52,41,,,,1.7843312989500002,,1,,2014-04-30 18:50:00,10.0
1074736,4.3,,12,40.7917366028,-73.950843811,,0.0,16.5,2014-04-12 18:16:01,0.5,0.0,1.0,2.0,40.8077430725,-73.919593811,1.0,0.0,0.0,N,73,50,0.0,0.0,17.0,3.67,1.0,0,2.0,2014-04-12 17:54:36,21.0
907806,6.9,,8,40.737663269,-73.8612136841,,0.5,5.5,2014-04-08 21:58:08,0.5,0.34,1.0,2.0,40.735130310100004,-73.8742218018,1.0,0.0,0.0,N,64,46,0.0,0.0,6.5,0.9,,0,1.0,2014-04-08 21:53:08,5.0
775215,8.5,,5,40.6688117981,-73.9833908081,,0.5,11.5,2014-04-05 20:39:27,0.5,0.0,1.0,1.0,40.693168640100005,-73.9696044922,1.0,0.0,0.0,N,54,40,2.4,0.0,14.9,2.2,1.0,0,2.0,2014-04-05 20:23:27,16.0
1042474,4.3,,12,40.666938781700004,-73.92902374270001,,0.5,11.0,2014-04-12 00:40:04,0.5,0.0,4.0,1.0,40.6796112061,-73.9679489136,1.0,0.0,0.0,N,73,50,0.0,0.0,12.0,2.74,1.0,0,2.0,2014-04-12 00:29:45,10.0
109946,8.7,B02598,15,,,,,14.918786294,2014-04-15 17:28:00,,0.71,,,40.7537,-73.9908,,0.0,0.0,,63,33,,,,2.7113280326,,1,,2014-04-15 17:19:00,9.0
451726,7.8,B02682,17,,,,,16.204331174300002,2014-04-17 14:51:00,,0.0,,,40.772,-73.96600000000001,,0.0,0.0,,48,36,,,,3.2490408636000003,,1,,2014-04-17 14:41:00,10.0
1388256,5.6,,19,40.8587150574,-73.8882293701,,0.5,7.0,2014-04-19 21:42:30,0.5,0.0,1.0,2.0,40.840976715100005,-73.8793792725,1.0,0.0,0.0,N,68,41,0.0,0.0,8.0,1.49,1.0,0,2.0,2014-04-19 21:35:25,7.0
1068028,4.3,,12,40.8356285095,-73.92100524899999,,0.0,15.5,2014-04-12 15:55:53,0.5,0.0,1.0,2.0,40.8250732422,-73.891242981,1.0,0.0,0.0,N,73,50,0.0,0.0,16.0,3.67,1.0,0,2.0,2014-04-12 15:35:38,20.0
687230,8.5,,4,40.7564582825,-73.9363327026,,0.0,16.0,2014-04-04 08:03:00,0.5,0.21,1.0,2.0,40.752040863000005,-73.8688659668,1.0,0.0,0.0,N,47,40,0.0,0.0,16.5,4.0,,0,1.0,2014-04-04 07:42:49,20.0
79338,6.9,B02598,9,,,,,14.8381652148,2014-04-09 18:30:00,,0.0,,,40.7675,-73.9666,,0.0,0.0,,61,45,,,,1.77289387211,,1,,2014-04-09 18:22:00,8.0
27796,4.9,B02512,25,,,,,13.5452750428,2014-04-25 15:17:00,,0.02,,,40.8065,-73.9663,,0.0,0.0,,63,44,,,,1.7248120984200002,,1,,2014-04-25 15:12:00,5.0
734062,8.5,,5,40.613861084,-73.9085083008,,0.5,49.0,2014-04-05 00:57:16,0.5,0.0,1.0,1.0,40.7546691895,-73.845703125,1.0,0.0,0.0,N,54,40,12.5,0.0,62.5,18.0,,0,1.0,2014-04-05 00:27:50,29.0
1563684,8.5,,24,40.675590515100005,-73.9635314941,,0.0,10.5,2014-04-24 11:58:57,0.5,0.0,1.0,2.0,40.6793289185,-73.9301986694,1.0,0.0,0.0,N,62,42,0.0,0.0,11.0,2.36,1.0,0,2.0,2014-04-24 11:46:53,12.0
1676704,5.4,,26,40.6721076965,-73.9688491821,,0.0,8.5,2014-04-26 17:38:44,0.5,0.92,2.0,1.0,40.6876983643,-73.968788147,1.0,0.0,0.0,N,67,46,0.0,0.0,9.0,0.0,1.0,0,2.0,2014-04-26 17:26:12,12.0
420416,4.3,B02682,12,,,,,30.457973617199997,2014-04-12 20:12:00,,0.0,,,40.7468,-73.9904,,0.0,0.0,,73,50,,,,3.6891426444300004,,1,,2014-04-12 19:59:00,13.0
1184175,8.7,,15,40.8107414246,-73.9527435303,,0.0,5.5,2014-04-15 08:32:33,0.5,0.71,1.0,1.0,40.8199234009,-73.95156860350001,1.0,0.0,0.0,N,63,33,1.0,0.0,7.0,0.7,1.0,0,1.0,2014-04-15 08:27:09,5.0
1529530,9.4,,23,40.8180007935,-73.9251098633,,0.0,6.5,2014-04-23 15:54:48,0.5,0.0,1.0,1.0,40.81407547,-73.9407043457,1.0,0.0,0.0,N,61,44,1.0,0.0,8.0,1.1,1.0,0,1.0,2014-04-23 15:48:40,6.0
1100584,5.8,,13,40.736171722399995,-73.9977645874,,0.5,31.0,2014-04-13 01:13:29,0.5,0.0,1.0,1.0,40.6791687012,-73.9682312012,1.0,0.0,0.0,N,77,54,6.3,0.0,38.3,8.17,1.0,0,2.0,2014-04-13 00:38:35,34.0
839092,6.0,,7,40.7584342957,-73.91780853270001,,0.5,8.0,2014-04-07 02:27:43,0.5,0.52,2.0,2.0,40.746723175,-73.8913726807,1.0,0.0,0.0,N,53,43,0.0,0.0,9.0,1.64,1.0,0,2.0,2014-04-07 02:20:17,7.0
123605,7.8,B02598,17,,,,,13.9645528541,2014-04-17 19:34:00,,0.0,,,40.7276,-73.9824,,0.0,0.0,,48,36,,,,1.12382065566,,1,,2014-04-17 19:31:00,3.0
1798041,8.9,,29,40.7803153992,-73.98397827149999,,0.0,12.0,2014-04-29 11:57:49,0.5,0.03,5.0,1.0,40.7877082825,-73.9496231079,1.0,0.0,0.0,N,52,43,2.4,0.0,14.9,2.67,1.0,0,2.0,2014-04-29 11:44:10,13.0
1135752,5.8,,13,40.772239685100004,-73.9468765259,,0.5,8.5,2014-04-13 20:12:13,0.5,0.0,5.0,2.0,40.7908668518,-73.9538497925,1.0,0.0,0.0,N,77,54,0.0,0.0,9.5,1.89,1.0,0,2.0,2014-04-13 20:03:21,8.0
919363,6.9,,9,40.7900543213,-73.9708404541,,0.0,7.5,2014-04-09 09:28:14,0.5,0.0,1.0,2.0,40.8059577942,-73.9652862549,1.0,0.0,0.0,N,61,45,0.0,0.0,8.0,1.46,1.0,0,2.0,2014-04-09 09:21:07,7.0
1789367,8.9,,29,40.7393188477,-73.9176330566,,0.0,9.0,2014-04-29 06:36:14,0.5,0.03,1.0,2.0,40.7441558838,-73.885055542,1.0,0.0,0.0,N,52,43,0.0,0.0,9.5,2.06,1.0,0,2.0,2014-04-29 06:27:46,8.0
418084,4.3,B02682,12,,,,,23.6295244879,2014-04-12 16:01:00,,0.0,,,40.7748,-73.9908,,0.0,0.0,,73,50,,,,3.21475645416,,1,,2014-04-12 15:51:00,10.0
1752710,4.3,,28,40.7492408752,-73.8579788208,,0.5,5.5,2014-04-28 01:15:09,0.5,0.0,1.0,2.0,40.7487869263,-73.8731994629,1.0,0.0,0.0,N,67,45,0.0,0.0,6.5,0.83,1.0,0,2.0,2014-04-28 01:10:58,4.0
1036009,5.8,,11,40.7222290039,-73.9499435425,,0.5,23.0,2014-04-11 23:12:29,0.5,0.0,3.0,1.0,40.688697814899996,-73.9890899658,1.0,0.0,0.0,N,75,56,5.88,0.0,29.88,7.66,1.0,0,2.0,2014-04-11 22:38:20,34.0
1559512,8.5,,24,40.8176574707,-73.9254455566,,0.0,6.5,2014-04-24 09:31:26,0.5,0.0,1.0,2.0,40.8139610291,-73.936882019,1.0,0.0,0.0,N,62,42,0.0,0.0,7.0,1.04,1.0,0,2.0,2014-04-24 09:24:20,7.0
1323813,5.4,,18,40.8464546204,-73.9385757446,,1.0,14.0,2014-04-18 18:00:25,0.5,0.0,1.0,2.0,40.8637542725,-73.8947601318,1.0,0.0,0.0,N,49,35,0.0,0.0,15.5,2.92,1.0,0,2.0,2014-04-18 17:43:34,16.0
1841884,8.3,,30,40.7839393616,-73.9738998413,,0.0,9.0,2014-04-30 12:59:04,0.5,4.97,1.0,1.0,40.8033332825,-73.9649734497,1.0,0.0,0.0,N,52,41,1.0,0.0,10.5,1.6,1.0,0,1.0,2014-04-30 12:47:58,11.0
825582,4.3,,6,40.877986908000004,-73.8591537476,,0.0,6.5,2014-04-06 19:12:19,0.5,0.0,1.0,2.0,40.8048706055,-73.93881988529999,1.0,0.0,0.0,N,61,36,0.0,0.0,7.0,1.1,1.0,0,2.0,2014-04-06 19:06:06,6.0
251524,6.9,B02617,9,,,,,18.5068740032,2014-04-09 18:03:00,,0.0,,,40.7227,-73.9991,,0.0,0.0,,61,45,,,,3.5900579064800002,,1,,2014-04-09 17:52:00,11.0
1067059,4.3,,12,40.6837387085,-73.9336853027,,0.0,11.5,2014-04-12 15:25:31,0.5,0.0,1.0,1.0,40.704856872600004,-73.9173431396,1.0,0.0,0.0,N,73,50,2.4,0.0,14.4,2.1,1.0,0,1.0,2014-04-12 15:11:02,14.0
1768290,4.3,,28,40.7219848633,-73.8671951294,,0.0,8.0,2014-04-28 14:54:28,0.5,0.0,1.0,2.0,40.733959198,-73.8711166382,1.0,0.0,0.0,N,67,45,0.0,0.0,8.5,1.4,1.0,0,2.0,2014-04-28 14:45:59,8.0
193163,4.3,B02598,28,,,,,12.107038355799999,2014-04-28 12:52:00,,0.0,,,40.7234,-74.0061,,0.0,0.0,,67,45,,,,0.7155229735590001,,1,,2014-04-28 12:49:00,3.0
1542436,9.4,,23,40.7913131714,-73.94198608399999,,0.5,5.5,2014-04-23 20:50:08,0.5,0.0,1.0,2.0,40.7902259827,-73.9519195557,1.0,0.0,0.0,N,61,44,0.0,0.0,6.5,0.98,1.0,0,2.0,2014-04-23 20:45:18,4.0
71734,6.9,B02598,8,,,,,20.9031643835,2014-04-08 07:33:00,,0.34,,,40.7453,-73.97800000000001,,0.0,0.0,,64,46,,,,2.9749832958999995,,1,,2014-04-08 07:22:00,11.0
418205,4.3,B02682,12,,,,,5.288282103899999,2014-04-12 16:08:00,,0.0,,,40.7354,-74.0098,,0.0,0.0,,73,50,,,,1.0216277517799999,,1,,2014-04-12 16:05:00,3.0
1867480,8.3,,30,40.8016090393,-73.9626083374,,0.5,7.5,2014-04-30 21:36:05,0.5,4.97,1.0,2.0,40.8101730347,-73.9475250244,1.0,0.0,0.0,N,52,41,0.0,0.0,8.5,1.3,1.0,0,1.0,2014-04-30 21:27:45,8.0
549866,8.3,B02682,30,,,,,27.630065653600003,2014-04-30 18:32:00,,4.97,,,40.7614,-73.9751,,0.0,0.0,,52,41,,,,3.69245797625,,1,,2014-04-30 18:19:00,13.0
696774,8.5,,4,40.744735717800005,-73.9030380249,,0.0,15.5,2014-04-04 13:02:43,0.5,0.21,1.0,1.0,40.7205352783,-73.8444595337,1.0,0.0,0.0,N,47,40,3.1,0.0,19.1,4.01,1.0,0,2.0,2014-04-04 12:46:14,16.0
990794,6.9,,10,40.8064918518,-73.9539642334,,0.5,6.5,2014-04-10 23:26:11,0.5,0.0,1.0,1.0,40.823810577399996,-73.9486999512,1.0,0.0,0.0,N,58,42,1.4,0.0,8.9,1.38,1.0,0,2.0,2014-04-10 23:20:52,5.0
1389884,5.6,,19,40.843223571799996,-73.8866958618,,0.5,5.5,2014-04-19 22:07:03,0.5,0.0,1.0,2.0,40.8488349915,-73.9034576416,1.0,0.0,0.0,N,68,41,0.0,0.0,6.5,0.95,1.0,0,2.0,2014-04-19 22:01:59,5.0
1527759,9.4,,23,40.6432151794,-73.9495391846,,0.0,12.5,2014-04-23 15:12:46,0.5,0.0,5.0,1.0,40.694931030300005,-73.95246124270001,1.0,0.0,0.0,N,61,44,0.0,0.0,13.0,2.37,1.0,0,2.0,2014-04-23 14:56:46,16.0
545271,8.3,B02682,30,,,,,14.930090314600001,2014-04-30 12:53:00,,4.97,,,40.764,-73.9558,,0.0,0.0,,52,41,,,,2.14656935292,,1,,2014-04-30 12:44:00,9.0
1017703,5.8,,11,40.790473938000005,-73.9749145508,,1.0,6.5,2014-04-11 17:20:03,0.5,0.0,1.0,2.0,40.8047103882,-73.9664916992,1.0,0.0,0.0,N,75,56,0.0,0.0,8.0,1.02,1.0,0,2.0,2014-04-11 17:14:03,6.0
981958,6.9,,10,40.744228363000005,-73.89990234380001,,1.0,9.5,2014-04-10 20:07:57,0.5,0.0,1.0,2.0,40.7339057922,-73.8693237305,1.0,0.0,0.0,N,58,42,0.0,0.0,11.0,2.12,1.0,0,2.0,2014-04-10 19:58:02,9.0
334280,2.0,B02682,2,,,,,15.0063461099,2014-04-02 08:06:00,,0.0,,,40.7842,-73.9549,,0.0,0.0,,54,42,,,,0.947890840562,,1,,2014-04-02 08:02:00,4.0
617975,2.0,,2,40.7996711731,-73.9388885498,,0.0,7.0,2014-04-02 14:43:52,0.5,0.0,2.0,1.0,40.8080482483,-73.9454345703,1.0,0.0,0.0,N,54,42,0.0,0.0,7.5,0.96,1.0,0,2.0,2014-04-02 14:36:02,7.0
68213,6.0,B02598,7,,,,,35.6169680302,2014-04-07 16:33:00,,0.52,,,40.763000000000005,-73.9786,,0.0,0.0,,53,43,,,,5.12864089106,,1,,2014-04-07 16:18:00,15.0
160620,8.5,B02598,24,,,,,33.3622932453,2014-04-24 12:44:00,,0.0,,,40.7205,-73.9987,,0.0,0.0,,62,42,,,,5.01560590411,,1,,2014-04-24 12:29:00,15.0
745031,8.5,,5,40.7252922058,-73.995475769,,0.0,13.0,2014-04-05 06:44:42,0.5,0.0,1.0,1.0,40.6905441284,-73.9663696289,1.0,0.0,0.0,N,54,40,2.5,0.0,16.0,3.62,1.0,0,2.0,2014-04-05 06:32:33,12.0
365165,8.5,B02682,5,,,,,23.139742121799998,2014-04-05 16:56:00,,0.0,,,40.7342,-74.0025,,0.0,0.0,,54,40,,,,3.7370831082400002,,1,,2014-04-05 16:45:00,11.0
37315,4.7,B02598,1,,,,,14.6742962728,2014-04-01 15:38:00,,0.0,,,40.7552,-73.9753,,0.0,0.0,,60,39,,,,1.8738819723599998,,1,,2014-04-01 15:31:00,7.0
1077164,4.3,,12,40.8548164368,-73.929359436,,0.0,9.0,2014-04-12 18:49:53,0.5,0.0,1.0,2.0,40.8300514221,-73.9476852417,1.0,0.0,0.0,N,73,50,0.0,0.0,9.5,1.93,1.0,0,2.0,2014-04-12 18:39:01,10.0
1489288,5.6,,22,40.8474311829,-73.9381256104,,0.0,9.5,2014-04-22 13:41:33,0.5,0.01,2.0,2.0,40.8242607117,-73.9370574951,1.0,0.0,0.0,N,71,51,0.0,0.0,10.0,2.09,1.0,0,2.0,2014-04-22 13:32:19,9.0
556387,8.5,B02764,5,,,,,21.2525226398,2014-04-05 18:57:00,,0.0,,,40.7212,-74.0395,,0.0,0.0,,54,40,,,,3.00436014726,,1,,2014-04-05 18:45:00,12.0
1802383,8.9,,29,40.805072784400004,-73.9650726318,,0.0,6.0,2014-04-29 14:29:13,0.5,0.03,1.0,1.0,40.8087768555,-73.9595031738,1.0,0.0,0.0,N,52,43,1.95,0.0,8.45,0.7,1.0,0,1.0,2014-04-29 14:22:30,6.0
206359,8.3,B02598,30,,,,,29.180901200999998,2014-04-30 07:20:00,,4.97,,,40.7481,-73.9712,,0.0,0.0,,52,41,,,,2.41808399935,,1,,2014-04-30 07:09:00,11.0
789824,4.3,,6,40.717338561999995,-73.835647583,,0.5,7.5,2014-04-06 00:09:27,0.5,0.0,1.0,2.0,40.7300224304,-73.8626403809,1.0,0.0,0.0,N,61,36,0.0,0.0,8.5,1.64,1.0,0,2.0,2014-04-06 00:03:37,5.0
1851107,8.3,,30,40.714138031,-73.9652328491,,1.0,16.5,2014-04-30 17:06:56,0.5,4.97,2.0,1.0,40.6932754517,-73.9482421875,1.0,0.0,0.0,N,52,41,3.5,0.0,21.5,2.65,1.0,0,2.0,2014-04-30 16:42:36,24.0
1517272,9.4,,23,40.768901825,-73.9887084961,,0.0,21.5,2014-04-23 09:17:24,0.5,0.0,1.0,1.0,40.755702972399995,-73.9408493042,1.0,0.0,0.0,N,61,44,5.0,0.0,27.0,6.4,1.0,0,2.0,2014-04-23 08:53:18,24.0
183251,5.4,B02598,26,,,,,19.324176416700002,2014-04-26 21:03:00,,0.92,,,40.7614,-73.9996,,0.0,0.0,,67,46,,,,2.6917242722,,1,,2014-04-26 20:55:00,8.0
930173,6.9,,9,40.828018188499996,-73.8850708008,,0.0,11.0,2014-04-09 15:49:13,0.5,0.0,1.0,2.0,40.8159103394,-73.9171829224,1.0,0.0,0.0,N,61,45,0.0,0.0,11.5,2.33,1.0,0,2.0,2014-04-09 15:35:12,14.0
860631,6.0,,7,40.7607192993,-73.9758377075,,1.0,17.5,2014-04-07 18:06:03,0.5,0.52,1.0,1.0,40.8102760315,-73.96231079100001,1.0,0.0,0.0,N,53,43,3.7,0.0,22.7,4.43,1.0,0,2.0,2014-04-07 17:45:32,20.0
1501601,5.6,,22,40.7732582092,-73.9494934082,,1.0,14.5,2014-04-22 19:39:05,0.5,0.01,1.0,2.0,40.753162384,-73.914680481,1.0,0.0,0.0,N,71,51,0.0,0.0,16.0,4.18,1.0,0,2.0,2014-04-22 19:25:06,13.0
