,dteday,hour,holiday,year,workingday,temp,atemp,hum,windspeed,casual,registered,counts,spring,summer,fall,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Mon,Tue,Wed,Thu,Fri,Sat,Cloudy,Snow,Storm
47,2011-01-03,0,0,0,1,0.22,0.19699999999999998,0.44,0.3582,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,2011-01-03,1,0,0,1,0.2,0.1667,0.44,0.4179,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,2011-01-03,5,0,0,1,0.16,0.1364,0.47,0.2836,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,2011-01-03,8,0,0,1,0.14,0.1212,0.5,0.2836,1,153,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,2011-01-03,9,0,0,1,0.16,0.1364,0.43,0.3881,7,81,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,2011-01-03,10,0,0,1,0.18,0.1667,0.43,0.2537,11,33,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,2011-01-03,11,0,0,1,0.2,0.1818,0.4,0.3284,10,41,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,2011-01-03,12,0,0,1,0.22,0.2121,0.35,0.2985,13,48,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,2011-01-03,14,0,0,1,0.26,0.2424,0.3,0.2836,11,66,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,2011-01-03,15,0,0,1,0.26,0.2424,0.3,0.2537,14,58,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61,2011-01-03,16,0,0,1,0.26,0.2424,0.3,0.2537,9,67,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,2011-01-03,17,0,0,1,0.24,0.2273,0.3,0.2239,11,146,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,2011-01-03,18,0,0,1,0.24,0.2576,0.32,0.1045,9,148,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64,2011-01-03,19,0,0,1,0.2,0.2576,0.47,0.0,8,102,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,2011-01-03,21,0,0,1,0.18,0.19699999999999998,0.64,0.1343,3,49,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
68,2011-01-03,23,0,0,1,0.18,0.2121,0.55,0.1045,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69,2011-01-04,0,0,0,1,0.16,0.1818,0.55,0.1045,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71,2011-01-04,2,0,0,1,0.14,0.1515,0.63,0.1343,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,2011-01-04,4,0,0,1,0.14,0.1818,0.63,0.0896,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,2011-01-04,5,0,0,1,0.12,0.1515,0.68,0.1045,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,2011-01-04,7,0,0,1,0.12,0.1515,0.74,0.1343,2,92,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78,2011-01-04,10,0,0,1,0.16,0.1364,0.69,0.3284,5,37,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
79,2011-01-04,11,0,0,1,0.22,0.2121,0.51,0.2985,7,50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80,2011-01-04,12,0,0,1,0.22,0.2273,0.51,0.1642,12,66,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81,2011-01-04,13,0,0,1,0.24,0.2273,0.56,0.19399999999999998,18,79,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82,2011-01-04,14,0,0,1,0.26,0.2576,0.52,0.2239,9,54,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
83,2011-01-04,15,0,0,1,0.28,0.2727,0.52,0.2537,17,48,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84,2011-01-04,16,0,0,1,0.3,0.2879,0.49,0.2537,15,68,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
87,2011-01-04,19,0,0,1,0.24,0.2576,0.48,0.1045,2,110,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,2011-01-04,20,0,0,1,0.24,0.2576,0.48,0.1045,1,53,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,2011-01-04,21,0,0,1,0.22,0.2727,0.64,0.0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,2011-01-04,23,0,0,1,0.2,0.2273,0.69,0.0896,2,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93,2011-01-05,1,0,0,1,0.16,0.19699999999999998,0.74,0.0896,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,2011-01-05,4,0,0,1,0.24,0.2273,0.48,0.2239,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
96,2011-01-05,5,0,0,1,0.22,0.2273,0.47,0.1642,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
97,2011-01-05,6,0,0,1,0.2,0.19699999999999998,0.47,0.2239,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,2011-01-05,7,0,0,1,0.18,0.1818,0.43,0.19399999999999998,1,87,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,2011-01-05,8,0,0,1,0.2,0.1818,0.4,0.2985,3,192,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,2011-01-05,10,0,0,1,0.22,0.19699999999999998,0.37,0.3284,4,53,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,2011-01-05,11,0,0,1,0.26,0.2273,0.33,0.3284,12,34,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,2011-01-05,13,0,0,1,0.28,0.2576,0.3,0.2985,6,65,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,2011-01-05,15,0,0,1,0.3,0.2879,0.28,0.19399999999999998,7,55,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107,2011-01-05,16,0,0,1,0.3,0.3182,0.28,0.0896,4,85,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,2011-01-05,17,0,0,1,0.24,0.2273,0.38,0.19399999999999998,4,186,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109,2011-01-05,18,0,0,1,0.24,0.2424,0.38,0.1343,3,166,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,2011-01-05,19,0,0,1,0.24,0.2576,0.38,0.1045,5,127,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111,2011-01-05,20,0,0,1,0.22,0.2273,0.47,0.1642,7,82,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112,2011-01-05,21,0,0,1,0.2,0.19699999999999998,0.51,0.19399999999999998,3,40,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
113,2011-01-05,22,0,0,1,0.18,0.19699999999999998,0.55,0.1343,1,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114,2011-01-05,23,0,0,1,0.2,0.2576,0.47,0.0,1,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,2011-01-06,2,0,0,1,0.16,0.2273,0.64,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
119,2011-01-06,5,0,0,1,0.14,0.1818,0.69,0.0896,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
120,2011-01-06,6,0,0,1,0.14,0.1667,0.63,0.1045,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
121,2011-01-06,7,0,0,1,0.16,0.2273,0.59,0.0,0,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
122,2011-01-06,8,0,0,1,0.16,0.2273,0.59,0.0,3,216,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
123,2011-01-06,9,0,0,1,0.18,0.2424,0.51,0.0,6,116,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
126,2011-01-06,12,0,0,1,0.26,0.2879,0.35,0.0,6,78,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
127,2011-01-06,13,0,0,1,0.26,0.2727,0.35,0.1045,12,55,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
128,2011-01-06,14,0,0,1,0.28,0.2727,0.36,0.1642,11,59,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
129,2011-01-06,15,0,0,1,0.28,0.2727,0.36,0.0,8,54,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,2011-01-06,16,0,0,1,0.26,0.2576,0.38,0.1642,12,74,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
131,2011-01-06,17,0,0,1,0.22,0.2273,0.51,0.1642,9,163,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132,2011-01-06,18,0,0,1,0.22,0.2273,0.51,0.1343,5,158,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133,2011-01-06,19,0,0,1,0.22,0.2576,0.55,0.0896,3,109,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
134,2011-01-06,20,0,0,1,0.2,0.2121,0.51,0.1642,3,66,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
135,2011-01-06,21,0,0,1,0.22,0.2121,0.55,0.2239,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
136,2011-01-06,22,0,0,1,0.22,0.2121,0.51,0.2836,1,51,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
137,2011-01-06,23,0,0,1,0.2,0.19699999999999998,0.59,0.19399999999999998,4,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
138,2011-01-07,0,0,0,1,0.2,0.19699999999999998,0.64,0.19399999999999998,4,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
139,2011-01-07,1,0,0,1,0.2,0.19699999999999998,0.69,0.2239,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
140,2011-01-07,2,0,0,1,0.2,0.19699999999999998,0.69,0.2239,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
143,2011-01-07,6,0,0,1,0.2,0.2576,0.69,0.0,8,26,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
144,2011-01-07,7,0,0,1,0.2,0.2121,0.69,0.1343,8,76,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
145,2011-01-07,8,0,0,1,0.2,0.19699999999999998,0.51,0.2537,20,190,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
146,2011-01-07,9,0,0,1,0.2,0.1818,0.47,0.2985,9,125,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148,2011-01-07,11,0,0,1,0.2,0.19699999999999998,0.4,0.2239,19,48,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
149,2011-01-07,12,0,0,1,0.2,0.19699999999999998,0.37,0.2537,9,50,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
152,2011-01-07,15,0,0,1,0.2,0.2121,0.37,0.1642,9,63,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
153,2011-01-07,16,0,0,1,0.2,0.2121,0.37,0.1642,5,82,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
155,2011-01-07,18,0,0,1,0.2,0.2273,0.4,0.0896,7,116,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
156,2011-01-07,19,0,0,1,0.16,0.19699999999999998,0.55,0.0896,3,92,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
158,2011-01-07,21,0,0,1,0.18,0.19699999999999998,0.47,0.1343,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
159,2011-01-07,22,0,0,1,0.18,0.19699999999999998,0.43,0.1642,2,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
160,2011-01-07,23,0,0,1,0.18,0.19699999999999998,0.51,0.1642,1,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
161,2011-01-08,0,0,0,0,0.18,0.19699999999999998,0.51,0.1642,1,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
162,2011-01-08,1,0,0,0,0.18,0.2121,0.55,0.0896,1,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
163,2011-01-08,2,0,0,0,0.18,0.2424,0.55,0.0,3,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
164,2011-01-08,3,0,0,0,0.18,0.19699999999999998,0.55,0.1642,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
165,2011-01-08,4,0,0,0,0.18,0.19699999999999998,0.55,0.1642,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
168,2011-01-08,7,0,0,0,0.16,0.1818,0.74,0.1045,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
170,2011-01-08,9,0,0,0,0.16,0.1818,0.93,0.1045,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
173,2011-01-08,12,0,0,0,0.2,0.1818,0.59,0.3582,8,90,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
174,2011-01-08,13,0,0,0,0.2,0.1818,0.44,0.3284,7,95,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
175,2011-01-08,14,0,0,0,0.2,0.1667,0.32,0.4925,12,83,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
176,2011-01-08,15,0,0,0,0.2,0.1667,0.32,0.4478,5,69,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
177,2011-01-08,16,0,0,0,0.18,0.1364,0.29,0.4478,8,68,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
178,2011-01-08,17,0,0,0,0.16,0.1212,0.37,0.5522,5,64,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
179,2011-01-08,18,0,0,0,0.14,0.1212,0.39,0.2985,3,52,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
180,2011-01-08,19,0,0,0,0.14,0.1212,0.36,0.2537,4,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
181,2011-01-08,20,0,0,0,0.12,0.1212,0.36,0.2537,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
182,2011-01-08,21,0,0,0,0.12,0.1061,0.39,0.3582,2,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
184,2011-01-08,23,0,0,0,0.1,0.0606,0.39,0.4478,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
185,2011-01-09,0,0,0,0,0.1,0.0758,0.42,0.3881,1,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,2011-01-09,1,0,0,0,0.1,0.0606,0.42,0.4627,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,2011-01-09,2,0,0,0,0.1,0.0606,0.46,0.4627,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2011-01-09,3,0,0,0,0.1,0.0758,0.46,0.4179,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2011-01-09,4,0,0,0,0.08,0.0909,0.53,0.19399999999999998,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2011-01-09,5,0,0,0,0.08,0.0909,0.53,0.19399999999999998,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2011-01-09,6,0,0,0,0.1,0.0909,0.49,0.2836,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2011-01-09,7,0,0,0,0.08,0.0909,0.53,0.19399999999999998,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2011-01-09,9,0,0,0,0.12,0.0758,0.46,0.5224,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2011-01-09,10,0,0,0,0.14,0.1061,0.43,0.3881,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,2011-01-09,11,0,0,0,0.16,0.1212,0.4,0.5224,2,47,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,2011-01-09,12,0,0,0,0.18,0.1364,0.37,0.4478,4,79,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,2011-01-09,13,0,0,0,0.2,0.1667,0.34,0.4478,6,69,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,2011-01-09,14,0,0,0,0.22,0.1818,0.32,0.4627,8,64,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2011-01-09,16,0,0,0,0.2,0.1667,0.34,0.4478,13,79,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,2011-01-09,17,0,0,0,0.18,0.1515,0.37,0.3881,3,59,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
